WKT,nombre,descripción
"POINT (2.0906786 41.4778318)",Punto 1,
"POINT (2.0916979 41.4798975)",Punto 2,
"POINT (2.0948844 41.4782096)",Punto 3,
"POINT (2.0954101 41.475774)",Punto 4,
"POINT (2.0980279 41.477888)",Punto 5,
"POINT (2.0992403 41.4768029)",Punto 6,
"POINT (2.0973893 41.4749825)",Punto 23,
"POINT (2.0975983 41.4734193)",Punto 7,
"POINT (2.0917404 41.4741106)",Punto 8,
"POINT (2.0906031 41.4763936)",Punto 9,
"POINT (2.0895088 41.4748662)",Punto 10,
"POINT (2.0877385 41.4750351)",Punto 11,
"POINT (2.0894229 41.4763534)",Punto 12,
"POINT (2.0874971 41.477957)",Punto 24,
"POINT (2.0876956 41.4799947)",Punto 13,
"POINT (2.0839024 41.477052)",Punto 14,
"POINT (2.0785809 41.4789972)",Punto 26,
"POINT (2.0796216 41.4798252)",Punto 25,
"POINT (2.0821858 41.478949)",Punto 15,
"POINT (2.0854259 41.4815693)",Punto 16,
"POINT (2.0838809 41.4833858)",Punto 17,
"POINT (2.0869279 41.4851058)",Punto 18,
"POINT (2.0898032 41.4836591)",Punto 19,
"POINT (2.0892453 41.4824534)",Punto 20,
"LINESTRING (2.0906786 41.4778318, 2.0916979 41.4798975, 2.0948844 41.4782096, 2.0954101 41.475774, 2.0980279 41.477888, 2.0992403 41.4768029, 2.0973893 41.4749825, 2.0975983 41.4734193, 2.0917404 41.4741106, 2.0906031 41.4763936, 2.0895088 41.4748662, 2.0877385 41.4750351, 2.0894229 41.4763534, 2.0874971 41.477957, 2.0876956 41.4799947, 2.0839024 41.477052, 2.0785809 41.4789972, 2.0796216 41.4798252, 2.0821858 41.478949, 2.0854259 41.4815693, 2.0838809 41.4833858, 2.0869279 41.4851058, 2.0898032 41.4836591, 2.0892453 41.4824534)",Línea Fabriques,
